"Date","Price","Open","High","Low","Vol.","Change %"
"25-03-2022","2,484.13","2,620.62","2,664.74","2,470.69","","-3.66%"
"24-03-2022","2,578.51","2,467.09","2,761.17","2,447.68","","4.37%"
"25-02-2022","2,470.48","2,261.33","2,552.46","2,256.09","","20.04%"
"24-02-2022","2,058.12","2,735.88","2,740.31","1,681.55","","-33.28%"
"22-02-2022","3,084.74","2,909.40","3,113.40","2,756.46","","1.58%"
"21-02-2022","3,036.88","3,458.73","3,460.42","2,910.49","","-10.50%"
"18-02-2022","3,393.31","3,547.04","3,565.52","3,371.05","","-3.35%"
"17-02-2022","3,511.08","3,588.27","3,595.12","3,498.20","","-3.71%"
"16-02-2022","3,646.41","3,682.94","3,683.95","3,608.01","","1.28%"
"15-02-2022","3,600.29","3,532.00","3,614.15","3,514.98","","3.42%"
"14-02-2022","3,481.38","3,442.82","3,524.87","3,404.35","","-1.84%"
"11-02-2022","3,546.62","3,579.69","3,596.74","3,514.12","","-2.99%"
"10-02-2022","3,655.76","3,628.51","3,655.76","3,592.75","","0.46%"
"09-02-2022","3,638.93","3,593.00","3,638.93","3,580.45","","2.46%"
"08-02-2022","3,551.65","3,497.18","3,551.65","3,487.64","","2.33%"
"07-02-2022","3,470.78","3,511.39","3,521.26","3,437.93","","-0.01%"
"04-02-2022","3,471.01","3,499.32","3,556.32","3,464.14","","0.00%"
"03-02-2022","3,471.18","3,498.76","3,519.23","3,446.65","","-2.05%"
"02-02-2022","3,543.80","3,574.87","3,580.22","3,516.17","","-0.12%"
"01-02-2022","3,548.17","3,564.55","3,584.71","3,531.35","","0.50%"
"31-01-2022","3,530.38","3,524.11","3,566.05","3,518.55","","1.20%"
"28-01-2022","3,488.60","3,508.57","3,534.40","3,446.01","","0.95%"
"27-01-2022","3,455.93","3,296.47","3,525.94","3,284.49","","2.93%"
"26-01-2022","3,357.66","3,341.71","3,412.15","3,276.06","","3.04%"
"25-01-2022","3,258.74","3,316.98","3,330.90","3,229.45","","0.73%"
